a			ʌ
luedecke		lʊˈdɪk
lueder			lʊˈdɜɹ
lueders		lʊˈdɜɹz
luedke			luˈdki
luedtke		lʊˈdki
lueh			lwɛˈ
luehring		lʊˈɹɪŋ
luehrs			lʊˈɹz
lueken			lʊˈkʌn
luella			luˌɛˈlʌ
luelle			luˈl
luellen		lʊˈlʌn
luepke			luˈpki
luera			luɛˈɹʌ
lueras			lʊˈɹʌz
lueras(1)		luɛˈɹʌz
luers			luˈɜɹz
luerssen		luˈɹsʌn
lueth			luˈθ
luetkemeyer		lʊˈtkɪmajɜɹ
luevano		luɛvɑˈnow
luff			lʌˈf
luffed			lʌˈft
luffman		lʌˈfmʌn
lufkin			lʌˈfkɪn
luft			lʌˈft
lufthansa		lʌftæˈnzʌ
lufthansa's		lʌftæˈnzʌz
luftig			lʌˈftɪg
luftkin		lʌˈftkɪn
lufttransport		lʌˈftɹæˌnzpɔˌɹt
lug			lʌˈg
lugano			lugɑˈnow
lugar			luˈgɜɹ
lugar's		luˈgɜɹz
lugarda		lugɑˈɹdʌ
luge			luˈdʒ
luger			luˈgɜɹ
lugers			luˈgɜɹz
luggage		lʌˈgʌdʒ
luggage(1)		lʌˈgɪdʒ
lugging		lʌˈgɪŋ
lugi			luˈgi
luginbill		lʌˈgɪnbʌl
luginbuhl		lʌˈgɪnbʌl
lugkov			luˈgkɔv
lugo			luˈgow
lugosi			lugowˈsi
lugosi(1)		lʌgowˈsi
lugs			lʌˈgz
luguarda		luˈgɑɹdʌ
lugubrious		lugjuˈbɹiʌs
lugworm		lʌˈgwɜɹm
lugworms		lʌˈgwɜɹmz
luhman			lʌˈmʌn
luhmann		lʌˈmʌn
luhn			lʌˈn
luhr			lɜɹˈ
luhr(1)		lʊˈɹ
luhring		lʊˈɹɪŋ
luhrs			lʊˈɹz
lui			luˈɪ
luick			luˈk
luigi			luiˈdʒi
luigi's		luiˈdʒiz
luigi's(1)		lwiˈdʒiz
luikart		luˈkɑɹt
luis			luiˈs
luisa			luiˈzʌ
luisi			luˈsi
luiz			luˈz
lujan			lujɑˈn
luk			lʌˈk
luka			luˈkʌ
lukach			lʌˈkʌk
lukacs			lʌˈkʌks
lukas			luˈkʌz
lukash			lukæˈʃ
lukasiewicz		lʌkɑˈsʌvɪtʃ
lukasik		lʌkɑˈsɪk
lukaszewski		lʌkʌʃɛˈfski
lukavica		lukʌvɪˈkʌ
lukavizta		lukʌvɪˈtstʌ
luke			luˈk
luke's			luˈks
lukehart		luˈkhɑɹt
luken			luˈkʌn
lukenbill		luˈkɪnbɪl
lukens			luˈkʌnz
luker			luˈkɜɹ
lukes			luˈks
lukewarm		luˈkwɔˈɹm
lukin			luˈkɪn
lukins			luˈkɪnz
lukman			lʌˈkmʌn
lukoil			luˈkɔjˈl
lukowski		lʌkɔˈfski
luks			lʌˈks
lukyanov		luˈkjʌnɑv
lula			luˈlʌ
lula's			luˈlʌz
lulie			lʌˈli
lull			lʌˈl
lullabies		lʌˈlʌbajˌz
lullaby		lʌˈlʌbajˌ
lulled			lʌˈld
lulling		lʌˈlɪŋ
lulls			lʌˈlz
lulu			luˈluˌ
lulue			luˈluˌ
lum			lʌˈm
luma			luˈmʌ
luman			luˈmʌn
lumb			lʌˈm
lumbago		lʌmbejˈgowˌ
lumbar			lʌˈmbɑˌɹ
lumbard		lʌˈmbɜɹd
lumber			lʌˈmbɜɹ
lumbering		lʌˈmbɜɹɪŋ
lumberjack		lʌˈmbɜɹdʒæˌk
lumberman		lʌˈmbɜɹmʌn
lumberman's		lʌˈmbɜɹmæˌnz
lumbert		lʌˈmbɜɹt
lumberton		lʌˈmbɜɹtʌn
lumberyard		lʌˈmbɜɹjɑˌɹd
lumberyards		lʌˈmbɜɹjɑˌɹdz
lumbra			lʌˈmbɹʌ
lumen			luˈmʌn
lumet			luˈmʌt
lumex			luˈmʌks
lumia			luˈmiʌ
lumina			luˈmɪnʌ
luminal		luˈmʌnʌl
luminance		luˈmʌnʌns
luminaries		luˈmʌnɛˌɹiz
luminary		luˈmʌnɛˌɹi
luminescence		luˌmʌnɛˈsʌns
luminescent		luˌmʌnɛˈsʌnt
luminol		luˌmɪnɔˈl
luminoso		luˌmɪnowˈsow
luminous		luˈmʌnʌs
lumley			lʌˈmli
lumm			lʌˈm
lummus			lʌˈmʌs
lumonics		lumɑˈnɪks
lump			lʌˈmp
lumpectomies		lʌˌmpɛˈktʌmiz
lumpectomy		lʌˌmpɛˈktʌmi
lumped			lʌˈmpt
lumper			lʌˈmpɜɹ
lumper's		lʌˈmpɜɹz
lumping		lʌˈmpɪŋ
lumpkin		lʌˈmpkɪn
lumpkins		lʌˈmpkɪnz
lumpp			lʌˈmp
lumps			lʌˈmps
lumpur			lʌˌmpʊˈɹ
lumpy			lʌˈmpi
lumsden		lʌˈmsdʌn
lun			lʌˈn
luna			luˈnʌ
lunacy			luˈnʌsi
lunar			luˈnɜɹ
lunati			lunɑtiˈ
lunatic		luˈnʌtɪˌk
lunatics		luˈnʌtɪˌks
lunberg		lʌˈnbɜɹg
lunceford		lʌˈnsɪfɔɹd
lunceford(1)		lʌˈnsfɔɹd
lunch			lʌˈntʃ
lunched		lʌˈntʃt
luncheon		lʌˈntʃʌn
luncheonette		lʌˌntʃɪnɛˈt
luncheonettes		lʌˌntʃɪnɛˈts
luncheons		lʌˈntʃʌnz
lunches		lʌˈntʃɪz
lunching		lʌˈntʃɪŋ
lunchroom		lʌˈntʃɹuˌm
lunchrooms		lʌˈntʃɹuˌmz
lunchtime		lʌˈntʃtajˌm
lund			lʌˈnd
lundahl		lʌˈndɑˌl
lunday			lʌˈndejˌ
lundberg		lʌˈndbɜɹg
lundblad		lʌˈndblʌd
lundborg		lʌˈndbɔɹg
lunde			lʌˈnd
lundeen		lʌˈndin
lundell		lʌˈndʌl
lunden			lʌˈndʌn
lunder			lʌˈndɜɹ
lundgren		lʌˈndgɹɛn
lundholm		lʌˈndhowˌlm
lundin			lʌˈndɪn
lundmark		lʌˈndmɑˌɹk
lundquist		lʌˈndkwɪˌst
lundstedt		lʌˈndstɪt
lundsten		lʌˈndsʌn
lundstrom		lʌˈndstɹʌm
lundt			lʌˈnt
lundy			lʌˈndi
lunenberg		lunɛˈnbɜɹg
lunetta		lunɛˈtʌ
lung			lʌˈŋ
lunge			lʌˈndʒ
lunged			lʌˈndʒd
lunger			lʌˈŋɜɹ
lunges			lʌˈndʒɪz
lungfish		lʌˈŋfɪˌʃ
lunging		lʌˈndʒɪŋ
lungren		lʌˈŋɹɛn
lungs			lʌˈŋz
lunn			lʌˈn
lunney			lʌˈni
lunny			lʌˈni
lunsford		lʌˈnsfɜɹd
lunt			lʌˈnt
luntz			lʌˈnts
luntz'			lʌˈnts
luntz's		lʌˈntsɪz
lunz			lʌˈnz
luo			lwowˈ
luoma			luowˈmʌ
luong			luɔˈŋ
luongo			luowˈŋgow
lupa			luˈpʌ
lupatkin		luˌpɑˈtkɪn
lupe			luˈp
luper			luˈpɜɹ
lupfer			lʌˈpfɜɹ
lupi			luˈpi
lupica			lupiˈkʌ
lupien			lʌˈpin
lupin			luˈpʌn
lupinacci		lupinɑˈtʃi
lupine			luˈpajˌn
lupinski		lʌpɪˈnski
lupita			lupiˈtʌ
luplow			lʌˈplow
lupo			luˈpow
lupone			luˌpowˈn
luppino		lupiˈnow
luptak			lʌˈptʌk
lupton			lʌˈptʌn
lupus			luˈpʌs
luque			luˈk
luquette		lʌkɛˈt
lura			lʊˈɹʌ
lurch			lɜɹˈtʃ
lurched		lɜɹˈtʃt
lurches		lɜɹˈtʃɪz
lurching		lɜɹˈtʃɪŋ
lure			lʊˈɹ
lured			lʊˈɹd
lures			lʊˈɹz
lurette		lɜɹɛˈt
lurgi			lɜɹˈdʒi
luria			lʊˈɹiʌ
lurid			lʊˈɹʌd
lurie			lʊˈɹi
luring			lʊˈɹɪŋ
lurk			lɜɹˈk
lurked			lɜɹˈkt
lurking		lɜɹˈkɪŋ
lurks			lɜɹˈks
lurleen		lɜɹliˈn
lurlene		lɜɹˈlin
lurline		lɜɹˈlajn
lurvey			lɜɹvejˈ
lurz			lɜɹˈz
lusaka			lusɑˈkʌ
lusardi		lusɑˈɹdi
lusby			lʌˈsbi
lusch			lʌˈʃ
luscher		lʌˈʃɜɹ
luscious		lʌˈʃɪs
luscombe		luskowˈmbi
luse			luˈz
lush			lʌˈʃ
lusher			lʌˈʃɜɹ
lushlife		lʌˈʃlajf
lushly			lʌˈʃli
lusignan		lʌˈsɪgnʌn
lusinchi		lusɪˈntʃi
lusitania		luˌsʌtejˈniʌ
lusitania's		luˌsʌtejˈniʌz
lusitanias		luˌsʌtejˈniʌz
lusk			lʌˈsk
luskin			lʌˈskɪn
lusky			lʌˈski
lusser			lʌˈsɜɹ
lussier		lʌˈsiɜɹ
lust			lʌˈst
lusted			lʌˈstɪd
luster			lʌˈstɜɹ
lustful		lʌˈstfʌl
lustgarten		lʌˈstgɑˌɹdʌn
lustig			lʌˈstɪg
lusting		lʌˈstɪŋ
lustre			lʌˈstɜɹ
lustrous		lʌˈstɹʌs
lusty			lʌˈsti
lute			luˈt
lutece			luˌtɛˈs
lutecia		lutiˈʃjʌ
luten			luˈtʌn
luter			luˈtɜɹ
lutes			luˈts
lutey			luˈti
lutfalla		lʌtfæˈlʌ
lutgen			lʌˈtgʌn
luth			luˈθ
luther			luˈθɜɹ
lutheran		luˈθɜɹʌn
lutherans		luˈθɜɹʌnz
luthi			luˈði
luthy			lʌˈθi
lutman			lʌˈtmʌn
luton			luˈtʌn
lutsky			lʌˈtski
lutter			lʌˈtɜɹ
lutterman		lʌˈtɜɹmʌn
luttman		lʌˈtmʌn
lutton			lʌˈtʌn
luttrell		lʌˈtɹʌl
luttrull		lʌˈtɹʌl
luttwak		lʌˈtwɑk
lutweiler		lʌˈtwajlɜɹ
luty			luˈti
lutz			lʌˈts
lutze			lʌˈtz
lutzke			lʌˈtski
luu			luˈu
luvena			lʌˈvɪnʌ
luvs			lʌˈvz
luwana			lʌwæˈnʌ
lux			lʌˈks
luxembourg		lʌˈksʌmbɔˌɹg
luxembourg(1)		lʌˈksʌmbɜɹˈg
luxor			lʌˈksɜɹ
luxottica		lʌˌksowtiˈkʌ
luxottica(1)		lʌˌksɑˈtɪkʌ
luxottica's		lʌˌksowtiˈkʌz
luxottica's(1)		lʌˌksɑˈtɪkʌz
luxton			lʌˈkstʌn
luxuriant		lʌgʒɜɹˈiʌnt
luxuries		lʌˈgʒɜɹiz
luxurious		lʌgʒɜɹˈiʌs
luxury			lʌˈgʒɜɹi
luyster		lajˈstɜɹ
luz			lʌˈz
luzader		lʌˈzʌdɜɹ
luzar			luˈzɜɹ
luzhkov		luˈʒkɔˌv
luzier			luˈziɜɹ
luzon			luˈzɑn
luzzi			luˈtsi
lwin			lwɪˈn
lwin(1)		ɛˈlwɪˌn
lwin(2)		luˈɪˌn
lxi			lksiˈ
lxi(1)			ɛˈlɛˈksajˈ
ly			lajˈ
lyall			lajˈʌl
lyanne			liæˈn
lyanne(1)		lajˌæˈn
lybarger		lajˈbɑˌɹgɜɹ
lybeck			lajˈbɛˌk
lybrand		lajˈbɹæˌnd
lybrand's		lajˈbɹʌndz
lycan			lajˈkʌn
lycoming		lajˈkʌmɪŋ
lycoming(1)		lajˌkowˈmɪŋ
lycos			lajˈkows
lycra			lajˈkɹʌ
lycurgus		lajkɜɹˈgʌs
lyda			lajˈdʌ
lydall			lajˈdʌl
lyday			lajˈdejˌ
lyde			lajˈd
lyden			lajˈdʌn
lydia			lɪˈdiʌ
lydic			lɪˈdɪk
lydick			lɪˈdɪk
lydie			lɪˈdi
lydon			lɪˈdʌn
lye			lajˈ
lyell			lajˌɛˈl
lyerla			lajˌɜɹˈlʌ
lyerly			lajˈɜɹli
lyford			lɪˈfɜɹd
lying			lajˈɪŋ
lyke			lajˈk
lykens			lajˈkʌnz
lykes			lajˈks
lykin			lajˈkʌn
lykins			lɪˈkʌnz
lyle			lajˈl
lyle's			lajˈlz
lyles			lajˈlz
lyman			lajˈmʌn
lyme			lajˈm
lymph			lɪˈmf
lymphadenopathy	lɪˌmfʌdɛˈnʌpæˌθi
lymphatic		lɪˌmfæˈtɪk
lymphoblast		lɪˌmfʌblæˈst
lymphoblastic		lɪˌmfʌblæˈstʌk
lymphocyte		lɪˈmfʌsajˌt
lymphocytes		lɪˈmfʌsajˌts
lymphoma		lɪmfowˈmʌ
lymphomas		lɪmfowˈmʌz
lyn			lɪˈn
lynam			lɪˈnʌm
lynch			lɪˈntʃ
lynch's		lɪˈntʃɪz
lynchburg		lɪˈntʃbɜɹg
lynched		lɪˈntʃt
lynching		lɪˈntʃɪŋ
lynchings		lɪˈntʃɪŋz
lynd			lɪˈnd
lynda			lɪˈndʌ
lynde			lɪˈnd
lynden			lɪˈndʌn
lyndhurst		lɪˈndhɜɹst
lyndon			lɪˈndʌn
lynds			lɪˈndz
lyne			lajˈn
lynes			lajˈnz
lyness			lajˌnɛˈs
lynette		lajˌnɛˈt
lynette(1)		lɪnɛˈt
lynford		lɪˈnfɜɹd
lyng			lɪˈŋ
lynk			lɪˈŋk
lynn			lɪˈn
lynn's			lɪˈnz
lynna			lajˈnʌ
lynne			lɪˈn
lynott			lajˈnʌt
lynskey		lɪˈnski
lynton			lɪˈntʌn
lynx			lɪˈŋks
lynxes			lɪˈŋksɪz
lyon			lajˈʌn
lyon's			lajˈʌnz
lyondell		lajˌʌndɛˈl
lyonnais		liˌʌnejˈ
lyonnais(1)		lajˌʌnejˈz
lyonnais's		lajˌʌnejˈzɪz
lyonnaise		lajˌʌnejˈz
lyons			lajˈʌnz
lyons's		lajˈʌnzɪz
lyphomed		lajˈfʌmɛd
lyphomed(1)		lɪˈfʌmɛd
lyphomed's		lajˈfʌmɛdz
lyphomed's(1)		lɪˈfʌmɛdz
lyra			lajˈɹʌ
lyre			lajˈɹ
lyric			lɪˈɹɪk
lyrical		lɪˈɹɪkʌl
lyrically		lɪˈɹɪkli
lyricism		lɪˈɹɪsɪˌzʌm
lyricist		lɪˈɹɪsɪst
lyricists		lɪˈɹɪsɪsts
lyrics			lɪˈɹɪks
lyris			lɪˈɹɪs
lyrist			lɪˈɹɪst
lysaght		lajˈsɑt
lysander		lajˌsæˈndɜɹ
lysandra		lajˌsæˈndɹʌ
lysine			lajˈsin
lysis			lajˈsɪs
lysistrata		lajˌsɪstɹɑˈtʌ
lyski			lajˈski
lysne			lajˈn
lysol			lajˈsɔˌl
lyssy			lɪˈsi
lyster			lɪˈstɜɹ
lyter			lajˈtɜɹ
lythgoe		lɪˈθgow
lytle			lajˈtʌl
lyttle			lɪˈtʌl
lytton			lɪˈtʌn
lyubimov		ljuˈbʌmɑv
lyubimov's		ljuˈbʌmɑvz
lyvers			lajˈvɜɹz
m			ɛˈm
m'bow			mbowˈ
m'bow(1)		ɛˌmbowˈ
m's			ɛˈmz
m-8			ɛˈmejˈt
m-80			ɛˈmejˈti
m-code			ɛˈmkowˈd
m-codes		ɛˈmkowˈdz
m.			ɛˈm
m.'s			ɛˈmz
m.s			ɛˈmz
m1			ɛˈmwʌˈn
m2			ɛˈmtuˈ
m3			ɛˈmθɹiˈ
m4			ɛˈmfɔˈɹ
m5			ɛˈmfajˈv
ma			mɑˈ
ma'am			mæˈm
maack			mɑˈk
maaco			mejˈkow
maag			mɑˈg
maahs			mɑˈz
maalox			mejˈlɑks
maam			mʌˈm
maas			mɑˈz
maass			mɑˈs
maassen		mɑˈsʌn
maastricht		mɑˈstɹɪˌkt
mab			mæˈb
mabe			mejˈb
mabee			mæˈbi
mabel			mejˈbʌl
mabelle		mʌbɛˈl
maben			mæˈbʌn
maberry		mɑˈbɛɹi
mabery			mæˈbɜɹi
mabey			mejˈbi
mabie			mæˈbi
mabile			mɑˈbʌl
mabin			mæˈbɪn
mabis			mæˈbɪs
mable			mejˈbʌl
mabley			mæˈbli
mabon			mejˈbʌn
mabrey			mæˈbɹi
mabry			mæˈbɜɹi
mabus			mæˈbɪs
mac			mæˈk
mac's			mæˈks
macabre		mʌkɑˈbɹʌ
macabre(1)		mʌkɑˈbɜɹ
macadam		mʌkæˈdʌm
macadamia		mæˌkʌdejˈmiʌ
macallister		mʌkæˈlɪstɜɹ
macalpine		mʌkæˈlpajˈn
macaluso		mæˌkʌluˈsow
macandrews		mʌkæˈndɹuˌz
macao			mʌkawˈ
macaques		mʌkɑˈks
macarena		mækʌɹiˈnʌ
macari			mɑkɑˈɹi
macaroni		mæˌkɜɹowˈni
macarthur		mʌkɑˈɹθɜɹ
macartney		mʌkɑˈɹtni
macau			mʌkawˈ
macaulay		mʌkɔˈli
macauley		mʌkɔˈli
macaw			mʌkɔˈ
macaws			mʌkɔˈz
macbeth		mʌkbɛˈθ
macbride		mʌkbɹajˈd
maccabean		mæˌkʌbiˈʌn
maccabee		mæˈkʌbiˌ
maccabees		mæˈkʌbiˌz
maccallum		mʌkæˈlʌm
maccaquano		mæˌkʌkwɑˈnow
maccarone		mæˈkɜɹowˌn
maccarthy		mʌkɑˈɹθi
macchi			mæˈki
macchia		mæˈkiʌ
macchio		mæˈkiow
macconnell		mʌkɑˈnʌl
maccormack		mʌkɔˈɹmʌk
macdermott		mʌkdɜɹˈmʌt
macdiarmid		mʌkdɪˈɹmɪd
macdill		mʌkdɪˈl
macdill's		mʌkdɪˈlz
macdonald		mʌkdɑˈnʌld
macdonald's		mʌkdɑˈnʌldz
macdonell		mʌkdɑˈnʌl
macdonnell		mʌkdɑˈnʌl
macdonough		mʌkdɑˈnʌf
macdougal		mʌkduˈgʌl
macdougall		mʌkduˈgʌl
macdowell		mʌkdawˈʌl
macduff		mʌkdʌˈf
mace			mejˈs
maceachern		mʌkiˈtʃɜɹn
maceda			mʌsejˈdʌ
macedo			mʌsejˈdow
macedonia		mæˌsʌdowˈniʌ
macedonia(1)		mæˌkʌdowˈniʌ
macedonian		mæˌsʌdowˈnjʌn
macedonian(1)		mæˌkʌdowˈnjʌn
macek			mɪkɛˈk
macera			mʌsɛˈɹʌ
macewan		mʌkjuˈʌn
macewan(1)		mejˈswɑn
macewen		mʌkjuˈʌn
macewen(1)		mejˈswɑn
macey			mejˈsi
macfadden		mʌkfæˈdʌn
macfadyen		mʌkfæˈdiʌn
macfarland		mʌkfɑˈɹlʌnd
macfarlane		mʌkfɑˈɹlʌn
macgowan		mʌgawˈʌn
macgraw		mʌgɹɑˈ
macgregor		mʌgɹɛˈgɜɹ
macgyver		mʌgajˈvɜɹ
macgyver's		mʌgajˈvɜɹz
mach			mɑˈk
macha			mæˈtʃʌ
machacek		mæˈkʌsɪk
machado		mʌtʃɑˈdow
machain		mʌtʃejˌn
machala		mʌtʃɑˈlʌ
machamer		mæˈkʌmɜɹ
mache			mæˈtʃ
machel			mæˈtʃʌl
machen			mæˈkʌn
macher			mæˈkɜɹ
macheski		mʌtʃɛˈski
machete		mʌʃɛˈtiˌ
machete(1)		mʌtʃɛˈtiˌ
machetes		mʌʃɛˈtiˌz
machetes(1)		mʌtʃɛˈtiˌz
machi			mɑˈki
machiavelli		mɑˌkiʌvɛˈli
machiavelli(1)		mɑˌkjʌvɛˈli
machiavelli's		mɑˌkiʌvɛˈliz
machiavelli's(1)	mɑˌkjʌvɛˈliz
machiavellian		mɑˌkiʌvɛˈliʌn
machiavellian(1)	mɑˌkjʌvɛˈliʌn
machida		mʌtʃiˈdʌ
machin			mæˈtʃɪn
machination		mæˌkʌnejˈʃʌn
machination(1)		mæˌʃʌnejˈʃʌn
machinations		mæˌkʌnejˈʃʌnz
machinations(1)	mæˌʃʌnejˈʃʌnz
machine		mʌʃiˈn
machine's		mʌʃiˈnz
machinea		mæˌʃʌniˈʌ
machined		mʌʃiˈnd
machinegun		mʌʃiˈngʌn
machineguns		mʌʃiˈngʌnz
machineries		mʌʃiˈnɜɹiz
machineries(1)		mʌʃiˈnɹiz
machinery		mʌʃiˈnɜɹi
machinery(1)		mʌʃiˈnɹi
machines		mʌʃiˈnz
machines'		mʌtʃiˈnz
machinima		mʌʃiˈnɪmʌ
machining		mʌʃiˈnɪŋ
machinist		mʌʃiˈnʌst
machinists		mʌʃiˈnɪsts
machinists'		mʌʃiˈnɪsts
machismo		mʌtʃɪˈzmow
machismo(1)		mʌkɪˈzmow
machivelli		mæˌkʌvɛˈli
machivellian		mæˌkʌvɛˈliʌn
machnik		mæˈknɪk
macho			mɑˈtʃow
machold		mʌhowˈld
machowski		mʌtʃɔˈfski
macht			mæˈtʃt
machtley		mæˈtʃtli
machuca		mʌtʃuˈkʌ
machuga		mʌtʃuˈgʌ
maciag			mʌkejˈg
macias			mɑsiˈʌs
maciejewski		mʌtʃɛˈfski
maciejewski(1)		mʌtʃuˈski
maciel			mɪkiˈl
macik			mɑˈtʃɪk
macinnes		mʌkɪˈnʌs
macinnis		mʌkɪˈnʌs
macintax		mæˈkʌntæˌks
macintosh		mæˈkʌntɔˌʃ
macintosh's		mæˈkʌntɑˌʃɪz
macintoshes		mæˈkʌntɔˌʃɪz
macintyre		mæˈkʌntajˌɹ
macioce		mɑtʃowˈtʃi
maciolek		mʌtʃiowˈlɛk
macisaac		mʌtʃɪˈsæˌk
maciver		miˈkɪvɜɹ
mack			mæˈk
mack's			mæˈks
mackall		mæˈkʌl
mackay			mʌkejˈ
macke			mæˈk
mackel			mæˈkʌl
mackellar		mʌkɛˈlɜɹ
macken			mæˈkʌn
mackenzie		mʌkɛˈnzi
mackerel		mæˈkɜɹʌl
mackert		mæˈkɜɹt
mackey			mæˈki
mackie			mæˈki
mackie's		mæˈkiz
mackiewicz		mæˈkiʌwɪts
mackiewicz(1)		mæˈkjʌwɪts
mackin			mæˈkɪn
mackinaw		mæˈkʌnɔˌ
mackinley		mʌkɪˈnli
mackinney		mʌkɪˈni
mackinnon		mʌkɪˈnʌn
mackintosh		mæˈkʌntɑˌʃ
macklem		mæˈklʌm
mackler		mæˈklɜɹ
mackley		mæˈkli
macklin		mæˈklɪn
macklin's		mæˈklɪnz
macknay		mæknejˈ
macknight		mʌknajˈt
macko			mæˈkow
mackowiak		mʌskawˈiæk
mackowski		mʌskɔˈfski
macks			mæˈks
macktal		mæˈktʌl
maclachlan		mʌklæˈklʌn
maclaine		mʌklejˈn
maclaren		mʌklɛˈɹʌn
maclaughlin		mʌklɔˈklɪn
maclay			mʌklejˈ
maclean		mʌklejˈn
macleish		mʌkliˈʃ
maclellan		mʌklɛˈlʌn
maclennan		mʌklɛˈnʌn
macleod		mʌklawˈd
maclin			mæˈklʌn
macmahon		mʌkmæˈn
macmaster		mʌkmæˈstɜɹ
macmillan		mʌkmɪˈlʌn
macmillan's		mʌkmɪˈlʌnz
macmullen		mʌkmʌˈlʌn
macmurray		mʌkmɜɹˈi
macnab			mʌknæˈb
macnair		mʌknɛˈɹ
macnamara		mæˈknʌmɛˌɹʌ
macnaughton		mʌknɔˈtʌn
macneal		mʌkniˈl
macneil		mʌkniˈl
macneill		mʌkniˈl
macomb			mejˈkʌm
macomber		mʌkɑˈmbɜɹ
macon			mejˈkʌn
macoute		mʌkuˈt
macoutes		mʌkuˈts
macphail		mʌkfejˈl
macphee		mʌkfiˈ
macpherson		mʌkfɜɹˈsʌn
macpherson(1)		mʌkfɪˈɹsʌn
macpherson's		mʌkfɜɹˈsʌnz
macpherson's(1)	mʌkfɪˈɹsʌnz
macquarrie		mʌkɛˈɹi
macqueen		mʌkwiˈn
macrae			mʌkɹejˈ
macrame		mæˈkɹʌmejˌ
macri			mæˈkɹi
macro			mæˈkɹow
macrodantin		mæˌkɹowdæˈntɪn
macroeconomic		mæˌkɹowɛkʌnɑˈmɪk
macroeconomic(1)	mæˌkɹowikʌnɑˈmɪk
macroeconomics		mæˌkɹowɛkʌnɑˈmɪks
macroeconomics(1)	mæˌkɹowikʌnɑˈmɪks
macromedia		mæˌkɹowmiˈdiʌ
macrophage		mæˈkɹowfejˌdʒ
macrophages		mæˈkɹowfejˌdʒɪz
macrovision		mæˈkɹowvɪˌʒʌn
macs			mæˈks
macsharry		mʌkʃɛˈɹi
mactaggart		mʌktæˈgɜɹt
mactan			mʌktæˈn
mactavish		mʌktæˈvɪʃ
macumber		mʌkʌˈmbɜɹ
macumolo		mʌkuˈmowlow
macumolo's		mʌkuˈmowlowz
macvicar		mʌkvɪˈkɜɹ
macvicar's		mʌkvɪˈkɜɹz
macvie			mæˈkvi
macwilliams		mʌkwɪˈljʌmz
macworld		mæˈkwɜɹˌld
macy			mejˈsi
macy's			mejˈsiz
macys			mejˈsiz
maczko			mɑˈtʃkow
mad			mæˈd
mada			mɑˈdʌ
madagascar		mæˌdʌgæˈskɜɹ
madalena		mæˌdʌlejˈnʌ
madam			mæˈdʌm
madame			mæˈdʌm
madame(1)		mʌdæˈm
madan			mejˈdʌn
madar			mæˈdɜɹ
madara			mɑdɑˈɹʌ
madaras		mɑdɑˈɹɑz
madaris		mæˈdɜɹɪs
maday			mɑˈdej
madcap			mæˈdkæˌp
madd			mæˈd
maddalena		mɑdɑlɛˈnʌ
maddamma		mʌdɑˈmʌ
madden			mæˈdʌn
maddening		mæˈdʌnɪŋ
maddening(1)		mæˈdnɪŋ
maddeningly		mæˈdʌnɪŋli
maddeningly(1)		mæˈdnɪŋli
madder			mæˈdɜɹ
maddie			mæˈdi
madding		mæˈdɪŋ
maddison		mæˈdɪsʌn
maddock		mæˈdʌk
maddocks		mæˈdʌks
maddox			mæˈdʌks
maddux			mæˈdʌks
maddy			mæˈdi
made			mejˈd
madeira		mʌdɪˈɹʌ
madej			mæˈdɪdʒ
madel			mæˈdʌl
madelaine		mæˈdɪlejn
madeleine		mæˌdʌlɛˈn
madelena		mɑdɛlɛˈnʌ
madelene		mædʌliˈn
madelin		mæˈdʌlɪn
madeline		mæˈdʌlɪn
madella		mʌdɛˈlʌ
madelle		mʌdɛˈl
madelon		mɑdejlɔˈn
madelyn		mæˈdɪlɪn
madelyn(1)		mæˈdlɪn
mademoiselle		mæˌdʌmʌzɛˈl
maden			mejˈdʌn
mader			mejˈdɜɹ
madera			mɑdɛˈɹʌ
madere			mæˈdɜɹ
madero			mɑdɛˈɹow
madewell		mæˈdɪwɛl
madewell(1)		mejˈdwɛl
madey			mejˈdi
madge			mæˈdʒ
madhouse		mæˈdhawˌs
madhusudan		mɑˌdhusuˈdʌn
madia			mɑˈdiʌ
madigan		mæˈdɪgʌn
madill			mɑdiˈl
madis			mæˈdʌs
madison		mæˈdʌsʌn
madison(1)		mæˈdɪsʌn
madison's		mæˈdʌsʌnz
madison's(1)		mæˈdɪsʌnz
madkins		mæˈdkɪnz
madl			mæˈdʌl
madlen			mæˈdʌlʌn
madlin			mæˈdlɪn
madlock		mæˈdlɑˌk
madly			mæˈdli
madman			mæˈdmæˌn
madmen			mæˈdmʌn
madness		mæˈdnʌs
madoc			mæˈdʌk
madock			mæˈdʌk
madoff			mæˈdɔˌf
madog			mæˈdʌg
madole			mʌdowˈl
madonia		mɑdowˈniʌ
madonna		mʌdɑˈnʌ
madonna's		mʌdɑˈnʌz
madora			mʌdɔˈɹʌ
madore			mʌdɔˈɹej
madra			mɑˈdɹʌ
madras			mæˈdɹʌs
madre			mɑˈdɹejˌ
madres			mɑˈdɹejˌz
madrid			mʌdɹɪˈd
madrids		mʌdɹɪˈdz
madrigal		mæˈdɹʌgʌl
madrigal(1)		mæˈdɹɪgʌl
madrigals		mæˈdɹʌgʌlz
madrigals(1)		mæˈdɹɪgʌlz
madril			mæˈdɹɪl
madron			mæˈdɹʌn
madruga		mæˈdɹugʌ
madry			mæˈdɹi
madsen			mæˈdsʌn
madsen's		mæˈdsʌnz
madson			mæˈdsʌn
madstones		mæˈdstowˌnz
mady			mejˈdi
madyun			mæˈdiʌn
madyun(1)		mæˈdjʌn
